text,president,title,date,label
"interest or one in which the oath of the President, acting under his convictions, both mental and moral, imperiously requires its exercise. In such a case he has no alternative. He must either exert the negative power intrusted to him by the Constitution chiefly for its own preservation, protection, and defense or commit an act of gross moral turpitude. Mere regard to the will of a majority must not in a constitutional republic like ours control this sacred and solemn",John Tyler,"September 9, 1841: Veto Message on the Creation of a Fiscal Corporation",1841-09-09T13:47:58-04:56,0
"carry on for itself, else its international relationship will have scant importance. Doubtless our own people have emerged from the World War tumult less impaired than most belligerent powers; probably we have made larger progress toward reconstruction. Surely we have been fortunate in diminishing unemployment, and our industrial and business activities, which are the lifeblood of our material existence, have been restored as in no other reconstruction period of like length in the history of the world. Had we escaped",Warren G. Harding,"December 8, 1922: Second Annual Message",1922-12-08T13:00:00-05:00,1
"the future of mankind. For the criminals who did this deed, no punishment is enough to remove the blot of their crime. But for the rest of us, there are things that we can learn and things that we must do. The people of Lebanon must have learned that the cycle of massacre upon massacre must end. Children are not avenged by the murder of other children. Israel must have learned that there is no way it can impose its",Ronald Reagan,"September 20, 1982: Address to the Nation on Lebanon",1982-09-20T14:00:00-04:00,0
"Mr. Speaker, Mr. Vice President, members of Congress, honored guests, my fellow Americans: We are fortunate to be alive at this moment in history. Never before has our nation enjoyed, at once, so much prosperity and social progress with so little internal crisis and so few external threats. Never before have we had such a blessed opportunity and, therefore, such a profound obligation to build the more perfect Union of our Founders’ dreams. We begin the new century with over",Bill Clinton,"January 27, 2000: State of the Union Address",2000-01-27T13:00:00-05:00,0
funeral ceremonies. The sealing interests of Russia in Bering Sea are second only to our own. A modus vivendi has therefore been concluded with the Imperial Government restrictive of poaching on the Russian rookeries and of sealing in waters which were not comprehended in the protected area defined in the Paris award. Occasion has been found to urge upon the Russian Government equality of treatment for our great life-insurance companies whose operations have been extended throughout Europe. Admitting as we,Grover Cleveland,"December 3, 1894: Second Annual Message (Second Term)",1894-12-03T13:00:00-05:00,0
"and water and power on a scale to dwarf even our own TVA. The wonders of modern medicine can be spread through villages where thousands die every year from lack of care. Schools can be established to train people in the skills that are needed to manage the process of development. And these objectives, and more, are within the reach of a cooperative and determined effort. I also intend to expand and speed up a program to make available our",Lyndon B. Johnson,"April 7, 1965: Address at Johns Hopkins University",1965-04-07T13:00:00-05:00,0
"I am Edwin Newman, moderator of this first debate of the 1976 campaign between Gerald R. Ford of Michigan, Republican candidate for President, and Jimmy Carter of Georgia, Democratic candidate for President. We thank you, President Ford, and we thank you, Governor Carter, for being with us tonight. There are to be three debates between the Presidential candidates and one between the Vice-Presidential candidates. All are being arranged by the League of Women Voters Education Fund. Tonight's debate, the first",Jimmy Carter,"September 23, 1976: Debate with President Gerald Ford (Domestic Issues)",1976-09-23T13:00:00-04:00,0
"Missouri to its headsprings, and are already engaged in establishing the blessings of self-government in valleys of which the rivers flow to the Pacific. The world beholds the peaceful triumphs of the industry of our emigrants. To us belongs the duty of protecting them adequately wherever they may be upon our soil. The jurisdiction of our laws and the benefits of our republican institutions should be extended over them in the distant regions which they have selected for their homes.",James K. Polk,"March 4, 1845: Inaugural Address",1845-03-04T13:03:58-04:56,0
"whether the war in Europe is or is not to continue, I hold it most certain that permanent tranquillity and order will not soon be obtained. The state of society has so long been disturbed, the sense of moral and religious obligations so much weakened, public faith and national honor have been so impaired, respect to treaties has been so diminished, and the law of nations has lost so much of its force, while pride, ambition, avarice and violence have",John Adams,"November 22, 1797: First Annual Message",1797-11-22T13:03:58-04:56,0
"we owe its expansion to the proportions of a treaty open to the entire world and destined, as I most confidently hope, shortly to include among its parties every country of the world. Mr. Stimson has sent forward today a message of felicitation to M. Briand and to the people of France for whom he speaks. I am happy, Mr. Kellogg, to extend to you, who represented the people of the United States with such untiring devotion and with such",Herbert Hoover,"July 24, 1929: Remarks Upon Proclaiming the Treaty for the Renunciation of War (Kellog-Briand Pact)",1929-07-24T13:00:00-04:00,0
"right to vote “precious,” “almost sacred.” He said, “The most powerful nonviolent tool we have in a democratic society”. This sacred right is under assault with an incredible intensity like I’ve never seen—even though I got started as a public defender and a civil rights lawyer—with an intensity and an aggressiveness that we have not seen in a long, long time.&nbsp; It’s simply un-American. It is not, however, sadly, unprecedented. The creed “We Shall Overcome” is a longtime mainstay of",Joe Biden,"June 1, 2021: Remarks Commemorating the 100th Anniversary of the Tulsa Race Massacre",2021-06-01T15:15:00-04:00,1
"of buildings is enough to show the great superiority in point of comfort, cleanliness, and healthfulness of the Government houses as compared with the native houses.<br /> The negroes generally do their own cooking, the bachelors cooking in sheds provided by the Government and using their own pots. In the different camps there was a wide variation in the character of these cooking sheds. In some, where the camps were completed, the kitchen or cooking sheds, as well as the",Theodore Roosevelt,"December 17, 1906: Message Regarding Conditions in Panama",1906-12-17T18:08:00-05:00,0
"as the judge of the validity of the return of the Delegate, and would have been determined before conflicting passions had become inflamed by time, and before opportunity could have been afforded for systematic interference of the people of individual States.<br /> This interference, in so far as concerns its primary causes and its immediate commencement, was one of the incidents of that pernicious agitation on the subject of the condition of the colored persons held to service in some",Franklin Pierce,"January 24, 1856: Message Regarding Disturbances in Kansas",1856-01-24T13:20:58-04:56,0
"doubtless meet with general acquiescence, but opinion has been widely divided upon the wisdom and practicability of the various reformatory schemes which have been suggested and of certain proposed regulations governing appointments to public office.&nbsp;<br /> The efficiency of such regulations has been distrusted mainly because they have seemed to exalt mere educational and abstract tests above general business capacity and even special fitness for the particular work in hand.It seems to me that the rules which should be applied",Chester A. Arthur,"December 6, 1881: First Annual Message",1881-12-06T13:03:58-04:56,0
"have decided to develop and to deploy modernized, intermediate-range nuclear forces to meet an unwarranted and increased threat from the nuclear weapons of the Soviet Union. We are working with our allies to prevent conflict in the Middle East. The peace treaty between Egypt and Israel is a notable achievement which represents a strategic asset for America and which also enhances prospects for regional and world peace. We are now engaged in further negotiations to provide full autonomy for the",Jimmy Carter,"January 23, 1980: State of the Union Address",1980-01-23T13:00:00-05:00,0
"it takes to bring teen smoking down. Let's raise the price of cigarettes by up to a dollar and a half a pack over the next 10 years, with penalties on the tobacco industry if it keeps marketing to our children. Tomorrow, like every day, 3,000 children will start smoking, and 1,000 will die early as a result. Let this Congress be remembered as the Congress that saved their lives.<br /> In the new economy, most parents work harder than",Bill Clinton,"January 27, 1998: State of the Union Address",1998-01-27T13:00:00-05:00,0
"the tariff board to make, an investigation undertaken by it wholly without respect to the effect which the facts may have in calling for a readjustment of the rates of duty. WAR DEPARTMENT. In the interest of immediate economy and because of the prospect of a deficit, I have required a reduction in the estimates of the War Department for the coming fiscal year, which brings the total estimates down to an amount forty-five millions less than the corresponding estimates",William Taft,"December 7, 1909: First Annual Message",1909-12-07T13:00:00-05:00,0
"as well as to the general improvement of the country. The remedial policy, the principles of which were settled more than thirty years ago under the Administration of Mr. Jefferson, consists in an extinction, for a fair consideration, of the title to all the lands still occupied by the Indians within the States and Territories of the United States; their removal to a country west of the Mississippi much more extensive and better adapted to their condition than that on",Martin Van Buren,"December 3, 1838: Second Annual Message to Congress",1838-12-03T13:03:58-04:56,0
"sources other than embryos -- from adult cells, from umbilical cords that are discarded after babies are born, from human placenta.&nbsp;&nbsp;And many scientists feel research on these type of stem cells is also promising.&nbsp;&nbsp;Many patients suffering from a range of diseases are already being helped with treatments developed from adult stem cells. &nbsp;&nbsp;&nbsp;&nbsp; However, most scientists, at least today, believe that research on embryonic stem cells offer the most promise because these cells have the potential to develop in all",George W. Bush,"August 10, 2001: Address to the Nation on Stem Cell Research",2001-08-09T23:01:00-04:00,0
"of veterans' benefits and will soon submit proposed improvements.</span> <p class=""p1""><span class=""s1"">We are proud of the progress our people have made in the field of civil rights. In Executive Branch operations throughout the nation, elimination of discrimination and segregation is all but completed. Progress is also being made among contractors engaged in furnishing Government services and requirements. Every citizen now has the opportunity to fit himself for and to hold a position of responsibility in the service of his country.",Dwight D. Eisenhower,"January 5, 1956: State of the Union Address",1956-01-05T10:00:00-05:00,0
"waste, to reward those who use less energy, and to encourage a change in the use of electricity to hours of the day when demand is low.<br /> Another very important question before Congress is how to let the market price for domestic oil go up to reflect the cost of replacing it while, at the same time, protecting the American consumers and our own economy.<br /> We must face an unpleasant fact about energy prices. They are going up,",Jimmy Carter,"November 8, 1977: Address to the Nation on Energy",1977-11-08T13:00:00-05:00,0
"That is why this budget looks ahead 10 years and accounts for spending that was left out under the old rules. And for the first time, that includes the full cost of fighting in Iraq and Afghanistan. For 7 years, we have been a nation at war. No longer will we hide its price.<br /> Along with our outstanding national security team, I'm now carefully reviewing our policies in both wars, and I will soon announce a way forward in",Barack Obama,"February 24, 2009: Address Before a Joint Session of Congress",2009-02-24T13:00:00-05:00,0
"center of the world. Around it should center all that is best in science, in learning, in letters, and in art. These are the results that justify the creation of those national resources with which we have been favored. AMERICAN IDEALS America is not and must not be a country without ideals. They are useless if they are only visionary; they are only valuable if they are practical. A nation can not dwell constantly on the mountain tops. It has",Calvin Coolidge,"December 7, 1926: Fourth Annual Message",1926-12-07T13:00:00-05:00,0
"first land grant colleges.&nbsp; (Applause.)&nbsp; And leaders of both parties have followed the example he set.&nbsp; Ask yourselves -- where would we be right now if the people who sat here before us decided not to build our highways, not to build our bridges, our dams, our airports?&nbsp; What would this country be like if we had chosen not to spend money on public high schools, or research universities, or community colleges?&nbsp; Millions of returning heroes, including my grandfather, had",Barack Obama,"September 8, 2011: Address to Congress on the American Jobs Act",2011-09-08T02:00:00-04:00,1
"in the crucial quest for enduring peace among nations."" The late Senator made those statements in July on the Senate floor, speaking in behalf of the MX missile program he considered vital to restore America's strategic parity with the Soviets. When John F. Kennedy was President, defense spending as a share of the Federal budget was 70 percent greater than it is today. Since then, the Soviet Union has carried on the most massive military buildup the world has ever",Ronald Reagan,"September 5, 1983: Speech on the Soviet Attack on a Korean Airliner",1983-09-05T14:00:00-04:00,0
"a law declaring it felony on the part of public officers to insert false entries in their books of record or account or to make false returns, and also requiring them on the termination of their service to deliver to their successors all books, records, and other objects of a public nature in their custody. Derived, as our public revenue is, in chief part from duties on imports, its magnitude affords gratifying evidence of the prosperity, not only of our",Franklin Pierce,"December 31, 1855: Third Annual Message",1855-12-31T13:03:58-04:56,0
"may be adding a couple of others. And we may, frankly, start thinking about taking some off. Go ahead. Q: Thank you, Mr. President. I’m a correspondent with Hong Kong Phoenix TV. You have been mentioned, you have mentioned that the number in China has been decreasing and China has made tremendous progress in the past two weeks. THE PRESIDENT: It’s true. Q: I’m wondering how much confidence does this give you to control the virus in the United States.",Donald Trump,"March 13, 2020: Press Conference about the Coronavirus",2020-03-13T15:30:00-04:00,0
"talking about it for 20 years. I was a private sector guy. But for whatever reason, I always had — these guys always covered me much more than anybody else. I always got a lot of these characters. They used to treat me so good too, until I ran for office. I used to get the greatest publicity. A friend of mine said, “You know, you used to be the king of getting great publicity. What happened?” I said, “Well,",Donald Trump,"February 23, 2018: Remarks at the Conservative Political Action Conference",2018-02-23T12:12:12-05:00,0
"remain unchanged, or that even the party which is now dominant in the island will wish to forever continue colonists.<br /> These facts give reason to think that when the contest shall close, Cuba, with her resources strained, but unexhausted (whatever may be her political relations), will resume and continue her old commercial relations with the United States; and it is not impossible that at some day, not far distant when measured by the course of history, she will be",Ulysses S. Grant,"July 14, 1870: Message Regarding US International Relations",1870-07-14T12:07:58-04:56,0
"our share in helping to bind up the wounds of those who have participated in it.<br /> <br /> As you know, I will soon be visiting the People's Republic of China and the Soviet Union. I go there with no illusions. We have great differences with both powers. We shall continue to have great differences. But peace depends on the ability of great powers to live together on the same planet despite their differences.<br /> <br /> We would",Richard M. Nixon,"January 20, 1972: State of the Union Address",1972-01-20T13:00:00-05:00,0
"for this privilege. Its exercise would be very valuable to him in his progress toward civilization.&nbsp; Second. Of even greater importance is a measure which has been frequently recommended by my predecessors in office, and in furtherance of which several bills have been from time to time introduced in both Houses of Congress.The enactment of a general law permitting the allotment in severalty, to such Indians, at least, as desire it, of a reasonable quantity of land secured to them",Chester A. Arthur,"December 6, 1881: First Annual Message",1881-12-06T13:03:58-04:56,0
"of prohibitory clauses in ourtreaties and statutes or of strict administrative regulation secured bydiplomatic negotiation. I sincerely hope that we may continue to minimizethe evils likely to arise from such immigration without unnecessary frictionand by mutual concessions between self-respecting governments. Meantimewe must take every precaution to prevent, or failing that, to punish outburstsof race feeling among our people against foreigners of whatever nationalitywho have by our grant a treaty right to pursue lawful business here andto be protected against lawless",William Taft,"March 4, 1909: Inaugural Address",1909-03-04T13:00:00-05:00,0
"forth from a sliver of land between tide fiver Jordan and the Mediterranean Sea. That hallowed piece of earth, that land of light and revelation is the home to the memories and dreams of Jews, Muslims, and Christians throughout the world.<br /> As we all know, devotion to that land has also been the source of conflict and bloodshed for too long. Throughout this century, bitterness between the Palestinian and Jewish people has robbed the entire region of its resources,",Bill Clinton,"September 13, 1993: Remarks at the Signing of the Israeli-Palestinian Agreement",1993-09-13T14:00:00-04:00,0
"necessary and binding as a condition precedent to the admission of members of Congress, it would happen, in the event of a veto by the Executive, that Senators and Representatives could only be admitted to the halls of legislation by a two-thirds vote of each of the Houses. Among other reasons recited in the preamble for the declaration contained in the resolution is the ratification by the State government of Tennessee of ""the amendment to the Constitution of the United",Andrew Johnson,"July 24, 1866: Message Restoring Tennessee to Former Status",1866-07-24T14:11:58-04:56,0
"To the Senate:<br /> In requesting the Senate to convene in session for the special purpose of dealing with the treaty for the limitation and reduction of naval armament signed at London April 22, 1930, it is desirable that I should present my views upon it. This is especially necessary because of misinformation and misrepresentation which has been widespread by those who in reality are opposed to all limitation and reduction in naval arms. We must naturally expect oppositions from",Herbert Hoover,"July 7, 1930: Message Regarding London Naval Treaty",1930-07-07T11:45:00-04:00,0
"before sunset. So, even though so many deserve credit, I will single out but a tiny handful. And I take those who have guided me personally over the years: of course, my friends Evan Kemp and Justin Dart, up here on the platform with me; and of course—I hope you'll forgive me for also saying a special word of thanks to two from the White House, but again, this is personal, so I don't want to offend those omitted—two from",George H. W. Bush,"July 26, 1990: Remarks on the Signing of the Americans with Disabilities Act",1990-07-26T14:00:00-04:00,0
"no longer, generous friends rather, our battles long past, the quarrel forgotten?except that we shall not forget the splendid valor, the manly devotion of the men then arrayed against one another, now grasping hands and smiling into each other&#39;s eyes. How complete the union has become and how dear to all of us, how unquestioned, how benign and majestic, as State after State has been added to this our great family of free men! How handsome the vigor, the maturity,",Woodrow Wilson,"July 4, 1913: Address at Gettysburg",1913-07-04T13:00:00-05:00,0
"little later in your session. In the meantime may I make this suggestion? The transportation problem is an exceedingly serious and pressing one in this country. There has from time to time of late been reason to fear that our railroads would not much longer be able to cope with it successfully, as at present equipped and coordinated I suggest that it would be wise to provide for a commission of inquiry to ascertain by a thorough canvass of the",Woodrow Wilson,"December 7, 1915: Third Annual Message",1915-12-07T13:00:00-05:00,0
"by a political but by a judicial method, without pressure and without prejudice. Partisanship has no place in our foreign relations. As I wish to see a court established, and as the proposal presents the only practical plan on which many nations have ever agreed, though it may not meet every desire, I therefore commend it to the favorable consideration of the Senate, with the proposed reservations clearly indicating our refusal to adhere to the League of Nations. RUSSIA Our",Calvin Coolidge,"December 6, 1923: First Annual Message",1923-12-06T13:00:00-05:00,0
"changed, and we must change with it.<br /> As we consider the road that unfolds before us, we remember with humble gratitude those brave Americans who, at this very hour, patrol far-off deserts and distant mountains. They have something to tell us today, just as the fallen heroes who lie in Arlington whisper through the ages. We honor them not only because they are guardians of our liberty, but because they embody the spirit of service; a willingness to find",Barack Obama,"January 20, 2009: Inaugural Address",2009-01-20T13:00:00-05:00,0
"acknowledging my communication of the 6th instant, you are pleased, of your own motion and in the absence of instruction from your Government, to lodge a protest against the attitude assumed by the Government of the United States in respect to the situation on the Isthmus of Panama.<br /> Accept, sir, etc.<br /> JOHN HAY.<br /> Mr. Tower to Mr. Hay.<br /> (TELEGRAM)<br /> EMBASSY OF THE UNITED STATES,<br /> Berlin, November 10, 1903.<br /> (Received 5:40 p.m.)<br /> In",Theodore Roosevelt,"November 16, 1903: Message Regarding the Panamanian Revolution",1903-11-16T17:56:00-05:00,0
